Id,Placename,Indicator,ValueRaw,ValueDiscrete,Lat,Long,LocationType,MeasurementRecordedDate,CreationTime
1,Toronto_R,Night_Light,20240.49219,medium,45.1507,-79.4174,Rural,2019-03-01,2020-05-31
62,Toronto_U,Night_Light,20240.49219,medium,45.749,-79.4083,Urban,2019-03-01,2020-05-31
2,Toronto_R,Night_Light,19732.60547,medium,45.1507,-79.4174,Rural,2019-03-02,2020-05-31
63,Toronto_U,Night_Light,19732.60547,medium,45.749,-79.4083,Urban,2019-03-02,2020-05-31
3,Toronto_R,Night_Light,22019.63672,medium,45.1507,-79.4174,Rural,2019-03-03,2020-05-31
64,Toronto_U,Night_Light,22019.63672,medium,45.749,-79.4083,Urban,2019-03-03,2020-05-31
4,Toronto_R,Night_Light,19298.43555,medium,45.1507,-79.4174,Rural,2019-03-04,2020-05-31
65,Toronto_U,Night_Light,19298.43555,medium,45.749,-79.4083,Urban,2019-03-04,2020-05-31
5,Toronto_R,Night_Light,19426.69727,medium,45.1507,-79.4174,Rural,2019-03-05,2020-05-31
66,Toronto_U,Night_Light,19426.69727,medium,45.749,-79.4083,Urban,2019-03-05,2020-05-31
6,Toronto_R,Night_Light,18078.41602,medium,45.1507,-79.4174,Rural,2019-03-06,2020-05-31
67,Toronto_U,Night_Light,18078.41602,medium,45.749,-79.4083,Urban,2019-03-06,2020-05-31
7,Toronto_R,Night_Light,18583.41602,medium,45.1507,-79.4174,Rural,2019-03-07,2020-05-31
68,Toronto_U,Night_Light,18583.41602,medium,45.749,-79.4083,Urban,2019-03-07,2020-05-31
8,Toronto_R,Night_Light,20256.79688,medium,45.1507,-79.4174,Rural,2019-03-08,2020-05-31
69,Toronto_U,Night_Light,20256.79688,medium,45.749,-79.4083,Urban,2019-03-08,2020-05-31
9,Toronto_R,Night_Light,20881.62891,medium,45.1507,-79.4174,Rural,2019-03-09,2020-05-31
70,Toronto_U,Night_Light,20881.62891,medium,45.749,-79.4083,Urban,2019-03-09,2020-05-31
10,Toronto_R,Night_Light,13673.77539,low,45.1507,-79.4174,Rural,2019-03-10,2020-05-31
71,Toronto_U,Night_Light,13673.77539,low,45.749,-79.4083,Urban,2019-03-10,2020-05-31
11,Toronto_R,Night_Light,19231.03125,medium,45.1507,-79.4174,Rural,2019-03-11,2020-05-31
72,Toronto_U,Night_Light,19231.03125,medium,45.749,-79.4083,Urban,2019-03-11,2020-05-31
12,Toronto_R,Night_Light,23137.56836,high,45.1507,-79.4174,Rural,2019-03-12,2020-05-31
73,Toronto_U,Night_Light,23137.56836,high,45.749,-79.4083,Urban,2019-03-12,2020-05-31
13,Toronto_R,Night_Light,17703.58984,low,45.1507,-79.4174,Rural,2019-03-13,2020-05-31
74,Toronto_U,Night_Light,17703.58984,low,45.749,-79.4083,Urban,2019-03-13,2020-05-31
14,Toronto_R,Night_Light,26852.98047,high,45.1507,-79.4174,Rural,2019-03-14,2020-05-31
75,Toronto_U,Night_Light,26852.98047,high,45.749,-79.4083,Urban,2019-03-14,2020-05-31
15,Toronto_R,Night_Light,23591.46289,high,45.1507,-79.4174,Rural,2019-03-15,2020-05-31
76,Toronto_U,Night_Light,23591.46289,high,45.749,-79.4083,Urban,2019-03-15,2020-05-31
16,Toronto_R,Night_Light,22478.49023,high,45.1507,-79.4174,Rural,2019-03-16,2020-05-31
77,Toronto_U,Night_Light,22478.49023,high,45.749,-79.4083,Urban,2019-03-16,2020-05-31
