Id,Placename,Indicator,ValueRaw,ValueDiscrete,Lat,Long,LocationType,MeasurementRecordedDate,CreationTime
1,Toronto_R,Activity_Level,1,Low,45.1507,-79.4174,Rural,3/1/2020,5/31/2020
2,Toronto_U,Activity_Level,5,Medium,45.749,-79.4083,Urban,3/1/2020,5/31/2020
3,Toronto_R,Activity_Level,3,Low,45.1507,-79.4174,Rural,3/2/2020,5/31/2020
4,Toronto_U,Activity_Level,7,High,45.749,-79.4083,Urban,3/2/2020,5/31/2020
5,Toronto_R,Activity_Level,3,Low,45.1507,-79.4174,Rural,3/3/2020,5/31/2020
6,Toronto_U,Activity_Level,6,Medium,45.749,-79.4083,Urban,3/3/2020,5/31/2020
7,Toronto_R,Activity_Level,0,Low,45.1507,-79.4174,Rural,3/4/2020,5/31/2020
8,Toronto_U,Activity_Level,8,High,45.749,-79.4083,Urban,3/4/2020,5/31/2020
9,Toronto_R,Activity_Level,1,Low,45.1507,-79.4174,Rural,3/5/2020,5/31/2020
10,Toronto_U,Activity_Level,10,High,45.749,-79.4083,Urban,3/5/2020,5/31/2020
11,Toronto_R,Activity_Level,1,Low,45.1507,-79.4174,Rural,3/6/2020,5/31/2020
12,Toronto_U,Activity_Level,5,Medium,45.749,-79.4083,Urban,3/6/2020,5/31/2020
13,Toronto_R,Activity_Level,3,Low,45.1507,-79.4174,Rural,3/7/2020,5/31/2020
14,Toronto_U,Activity_Level,10,High,45.749,-79.4083,Urban,3/7/2020,5/31/2020
15,Toronto_R,Activity_Level,0,Low,45.1507,-79.4174,Rural,3/8/2020,5/31/2020
16,Toronto_U,Activity_Level,6,Medium,45.749,-79.4083,Urban,3/8/2020,5/31/2020
17,Toronto_R,Activity_Level,3,Low,45.1507,-79.4174,Rural,3/9/2020,5/31/2020
18,Toronto_U,Activity_Level,7,High,45.749,-79.4083,Urban,3/9/2020,5/31/2020
19,Toronto_R,Activity_Level,0,Low,45.1507,-79.4174,Rural,3/10/2020,5/31/2020
20,Toronto_U,Activity_Level,4,Medium,45.749,-79.4083,Urban,3/10/2020,5/31/2020
21,Toronto_R,Activity_Level,2,Low,45.1507,-79.4174,Rural,3/11/2020,5/31/2020
22,Toronto_U,Activity_Level,4,Medium,45.749,-79.4083,Urban,3/11/2020,5/31/2020
23,Toronto_R,Activity_Level,1,Low,45.1507,-79.4174,Rural,3/12/2020,5/31/2020
24,Toronto_U,Activity_Level,4,Medium,45.749,-79.4083,Urban,3/12/2020,5/31/2020
25,Toronto_R,Activity_Level,1,Low,45.1507,-79.4174,Rural,3/13/2020,5/31/2020
26,Toronto_U,Activity_Level,7,High,45.749,-79.4083,Urban,3/13/2020,5/31/2020
27,Toronto_R,Activity_Level,3,Low,45.1507,-79.4174,Rural,3/14/2020,5/31/2020
28,Toronto_U,Activity_Level,6,Medium,45.749,-79.4083,Urban,3/14/2020,5/31/2020
29,Toronto_R,Activity_Level,2,Low,45.1507,-79.4174,Rural,3/15/2020,5/31/2020
30,Toronto_U,Activity_Level,5,Medium,45.749,-79.4083,Urban,3/15/2020,5/31/2020
32,Toronto_R,Activity_Level,0,Low,45.1507,-79.4174,Rural,3/16/2020,5/31/2020
31,Toronto_U,Activity_Level,7,High,45.749,-79.4083,Urban,3/16/2020,5/31/2020
